token,declaration_count,unique_value_count,values,conflict_candidate
--td-radius-2,1,1,6px [1],no
--td-radius-3,1,1,8px [1],no
--td-radius-4,1,1,10px [1],no
--td-radius-5,1,1,12px [1],no
--td-radius-6,1,1,14px [1],no
--td-radius-7,1,1,16px [1],no
--td-radius-8,1,1,18px [1],no
--td-radius-9,1,1,22px [1],no
--td-radius-pill,1,1,999px [1],no
--td-raise-fill,2,2,"color-mix(in srgb, #FFF8E6 2.5%, var(--td-surface)) [1] | var(--td-surface) [1]",yes
--td-raise-fill-hover,2,2,"color-mix(in srgb, #FFF8E6 4%, var(--td-surface)) [1] | color-mix(in srgb, var(--td-surface) 99%, white) [1]",yes
--td-raised,1,1,"\n 4px 5px 12px color-mix(in srgb, var(--td-shadow-dark) 70%, transparent),\n -4px -5px 10px color-mix(in srgb, var(--td-shadow-light) 95%, transparent),\n inset 0 1px 0 var(--td-shadow-veil), 0 0 0 1px var(--td-edge) [1]",no
--td-section-pad,1,1,"clamp(64px, 12vw, 144px) [1]",no
--td-section-pad-lg,1,1,"clamp(80px, 14vw, 176px) [1]",no
--td-series-1,1,1,oklch(0.66 0.23 30) [1],no
--td-series-1-text,1,1,#C9422A [1],no
--td-series-2,1,1,oklch(0.66 0.23 237) [1],no
--td-series-2-text,2,2,#0077B1 [1] | var(--td-series-2) [1],yes
--td-series-3,1,1,oklch(0.66 0.23 160) [1],no
--td-series-3-text,2,2,#008154 [1] | var(--td-series-3) [1],yes
--td-series-4,1,1,oklch(0.66 0.23 300) [1],no
--td-series-4-text,2,2,#8857CC [1] | var(--td-series-4) [1],yes
--td-series-5,1,1,oklch(0.66 0.23 120) [1],no
--td-series-5-text,2,2,#4E7600 [1] | var(--td-series-5) [1],yes
--td-series-6,1,1,oklch(0.66 0.23 190) [1],no
--td-series-6-text,2,2,#007E7F [1] | var(--td-series-6) [1],yes
--td-series-7,1,1,oklch(0.66 0.23 354) [1],no
--td-series-7-text,2,2,#BE4085 [1] | var(--td-series-7) [1],yes
--td-series-8,1,1,oklch(0.66 0.23 265) [1],no
--td-series-8-text,2,2,#3F6AD8 [1] | var(--td-series-8) [1],yes
--td-shadow-dark,3,3,"rgba(0, 0, 0, 0.22) [1] | rgba(0, 0, 0, 0.92) [1] | rgba(82, 70, 54, 0.30) [1]",yes
--td-shadow-light,3,3,"rgba(255, 248, 230, 0.062) [1] | rgba(255, 252, 245, 0.78) [1] | rgba(255, 255, 255, 1) [1]",yes
--td-shadow-veil,3,3,"rgba(255, 248, 230, 0.040) [1] | rgba(255, 252, 245, 0.55) [1] | rgba(255, 255, 255, 0.65) [1]",yes
--td-sp-1,2,2,2px [1] | calc(2px * var(--td-density)) [1],yes
--td-sp-10,2,2,22px [1] | calc(24px * var(--td-density)) [1],yes
--td-sp-11,2,2,28px [1] | calc(32px * var(--td-density)) [1],yes
--td-sp-12,2,2,36px [1] | calc(40px * var(--td-density)) [1],yes
--td-sp-13,2,2,48px [1] | calc(48px * var(--td-density)) [1],yes
--td-sp-2,2,2,4px [1] | calc(4px * var(--td-density)) [1],yes
--td-sp-3,2,2,6px [1] | calc(6px * var(--td-density)) [1],yes
--td-sp-4,2,2,8px [1] | calc(8px * var(--td-density)) [1],yes
--td-sp-5,2,2,10px [1] | calc(10px * var(--td-density)) [1],yes
--td-sp-6,2,2,12px [1] | calc(12px * var(--td-density)) [1],yes
--td-sp-7,2,2,14px [1] | calc(14px * var(--td-density)) [1],yes
--td-sp-8,2,2,16px [1] | calc(16px * var(--td-density)) [1],yes
--td-sp-9,2,2,18px [1] | calc(20px * var(--td-density)) [1],yes
--td-surface,3,3,#1A1815 [1] | #ECEAE6 [1] | #F5F5F5 [1],yes
--td-surface-2,3,3,#221F1A [1] | #E1DED9 [1] | #E8E8E8 [1],yes
--td-t-base,1,1,180ms [1],no
--td-t-deliberate,1,1,320ms [1],no
--td-t-fast,1,1,140ms [1],no
--td-t-instant,1,1,90ms [1],no
--td-t-slow,1,1,240ms [1],no
--td-tabpanel-max,0,0,,no
--td-tabpanel-min,0,0,,no
--td-warning,1,1,#FF5E29 [1],no
--td-warning-text,2,2,var(--td-brand) [1] | var(--td-warning) [1],yes
--td-well-radius,1,1,calc(var(--td-frame-radius) - var(--td-frame-pad)) [1],no
--td-widget-tone,6,6,var(--td-accent) [1] | var(--td-brand) [1] | var(--td-error) [1] | var(--td-green) [1] | var(--td-ink-3) [1] | var(--td-warning) [1],yes
